1493663240.000000, 1493663240.000000, 1493663240.000000
32.000000, 32.000000, 32.000000
-26,-1,-56
-33,14,-63
-43,36,-53
-31,13,-42
-34,-1,-50
-43,3,-55
-50,6,-57
-45,20,-57
-35,22,-66
-46,2,-46
-16,-5,-71
-20,-32,-51
-29,-21,-37
-26,-21,-87
-60,-48,-43
-62,-19,-19
-44,0,-33
-53,-24,-62
-40,-36,-35
-32,-42,-28
-46,-35,-7
-52,-29,-8
-52,-15,-15
-65,-17,-13
-76,-29,-8
-80,-34,-3
-69,-25,1
-50,-22,3
-52,-17,-7
-56,-6,-12
-59,2,-14
-59,17,-26
-79,4,-4
-80,-33,25
-72,-45,39
-64,-50,17
-66,-46,15
-43,-29,9
-51,-7,-7
-70,-5,-1
-77,-3,12
-50,-10,25
-42,-11,18
-41,-13,15
-50,-20,13
-54,-16,8
-58,-26,16
-55,-37,44
-55,-35,43
-64,-28,17
-92,-14,5
-67,-6,8
-58,-9,14
-48,-9,11
-47,-12,15
-52,-18,6
-55,-27,11
-53,-32,18
-67,-13,9
-78,-22,31
-74,-15,9
-58,-5,-1
-66,-40,36
-65,-44,38
-51,-23,-4
-56,-4,3
-62,-8,19
-55,-16,11
-35,-21,28
-54,-23,17
-65,-23,14
-66,-22,13
-64,-29,17
-61,-23,10
-67,-12,6
-76,-11,7
-61,-17,14
-63,-20,11
-62,-27,13
-56,-28,19
-63,-24,16
-65,-26,15
-66,-31,10
-50,-28,16
-43,-26,7
-48,-27,-3
-48,-26,1
-55,-31,13
-67,-32,25
-87,-34,10
-88,-34,-1
-54,-29,1
-67,-46,-4
-71,-32,-11
-83,-18,-25
-66,-20,7
-84,1,19
-77,-2,-3
-40,2,-16
-25,-6,-20
-6,-16,16
-50,-42,47
-65,-43,80
-55,-26,34
-42,-22,25
-19,-13,39
-27,-14,26
-68,-29,17
-75,-26,30
-6,-12,-7
-86,-57,38
-64,-35,24
-74,-47,12
-57,-48,22
-29,-26,23
-49,-19,22
-48,-32,14
-35,-43,20
-35,-36,31
-70,-75,20
-50,-71,35
-38,-66,17
-19,-63,17
-57,-35,14
-69,-26,12
-47,-41,28
-46,-39,24
-68,-50,-1
-70,-43,7
-63,-31,3
-44,-12,14
-49,-18,16
-39,-37,16
-33,-43,13
-28,-42,18
-36,-41,20
-9,-49,26
-1,-58,0
-27,-74,-29
-79,-49,-46
-55,-55,-14
-26,-58,10
-30,-54,-10
-62,-53,-46
-70,-48,-37
-5,-60,56
-25,-79,-3
-42,-80,-23
-7,-55,-14
-6,-41,-14
5,-48,-8
-12,-50,-15
-26,-76,-7
-44,-79,-3
-44,-75,-12
-6,-59,-10
0,-53,-9
-15,-58,-21
-4,-65,-10
-6,-72,-1
18,-61,-12
-9,-62,-8
-10,-63,3
6,-65,-3
6,-60,-22
-31,-53,-30
-14,-49,-17
-13,-54,-15
-24,-59,-7
-22,-61,16
-45,-65,0
-60,-73,-6
-7,-86,1
-18,-56,-51
27,-35,-45
15,-39,-31
11,-39,-36
25,-56,14
-21,-50,-11
44,-27,-9
23,-41,-16
15,-70,-21
-11,-95,0
-15,-97,9
-35,-94,-7
-38,-91,-2
-55,-82,-18
-82,-93,-51
-25,-104,-34
12,-84,18
24,-61,71
-58,-32,-37
-92,-16,-52
54,-15,40
3,-29,27
-105,-25,-27
-73,-25,-21
-29,-46,21
-33,-51,21
-36,-32,59
-46,-35,33
-45,-40,38
-32,-22,30
-28,-20,33
-31,-31,39
-29,-32,34
-66,-56,17
-75,-69,25
-41,-74,41
-27,-59,30
-64,-72,7
-40,-49,26
-20,-44,51
-60,-30,21
-50,-8,3
-41,6,0
-53,-10,-14
-1,-13,-8
-61,-6,-39
-10,-16,-9
-22,-36,4
-51,-58,-4
-92,-54,-40
-75,-48,-32
-61,-19,-30
-67,-11,-31
-27,-27,5
-71,-35,-22
-84,-23,-29
-58,-23,11
-54,-19,-6
-69,-22,-26
-79,-19,-28
-67,-13,-39
-69,-20,-51
-71,-20,-29
-58,-37,-8
-44,-47,-9
-33,-41,-2
-41,-40,-26
-61,-15,3
-61,-3,-11
-59,-9,-17
-63,-25,-8
-89,-52,-3
