,duration(s),microsiemens,normalized_time,participantID,tag0,tag1
73,2513.71462726593,23.089102,18.3,Participant_1493663240_A01890.p,False,
74,2513.9646487236023,23.218493,18.5,Participant_1493663240_A01890.p,False,
75,2514.214669942856,23.337635,18.8,Participant_1493663240_A01890.p,False,
76,2514.464691400528,23.217213,19.0,Participant_1493663240_A01890.p,False,
77,2514.7147126197815,22.349907,19.3,Participant_1493663240_A01890.p,False,
78,2514.9647340774536,22.267675,19.5,Participant_1493663240_A01890.p,False,
79,2515.214755296707,22.397068,19.8,Participant_1493663240_A01890.p,False,
80,2515.4647767543793,23.119608,20.0,Participant_1493663240_A01890.p,False,
81,2515.714797973633,23.312014,20.3,Participant_1493663240_A01890.p,False,
82,2515.964819431305,23.660473,20.5,Participant_1493663240_A01890.p,False,
83,2516.2148406505585,24.144886,20.8,Participant_1493663240_A01890.p,False,
84,2516.4648621082306,24.01236,21.0,Participant_1493663240_A01890.p,False,
85,2516.714883327484,24.472275,21.3,Participant_1493663240_A01890.p,False,
86,2516.9649047851562,24.638817,21.5,Participant_1493663240_A01890.p,False,
87,2517.2149262428284,25.080261,21.8,Participant_1493663240_A01890.p,False,
88,2517.464947462082,25.308317,22.0,Participant_1493663240_A01890.p,False,
89,2517.714968919754,25.201986,22.3,Participant_1493663240_A01890.p,False,
90,2517.9649901390076,25.187895,22.5,Participant_1493663240_A01890.p,False,
91,2518.2150115966797,25.351875,22.8,Participant_1493663240_A01890.p,False,
92,2518.4650328159332,25.035444,23.0,Participant_1493663240_A01890.p,False,
93,2518.7150542736053,24.863777,23.3,Participant_1493663240_A01890.p,False,
94,2518.965075492859,25.10078,23.5,Participant_1493663240_A01890.p,False,
95,2519.215096950531,25.029037,23.8,Participant_1493663240_A01890.p,False,
96,2519.4651181697845,24.967545,24.0,Participant_1493663240_A01890.p,False,
97,2519.7151396274567,24.85737,24.3,Participant_1493663240_A01890.p,False,
98,2519.96516084671,24.731823,24.5,Participant_1493663240_A01890.p,False,
99,2520.2151823043823,24.748478,24.8,Participant_1493663240_A01890.p,False,
100,2520.4652037620544,24.794598,25.0,Participant_1493663240_A01890.p,False,
101,2520.715224981308,24.765131,25.3,Participant_1493663240_A01890.p,False,
102,2520.96524643898,24.783068,25.5,Participant_1493663240_A01890.p,False,
103,2521.2152676582336,24.836874,25.8,Participant_1493663240_A01890.p,False,
104,2521.4652891159058,24.758726,26.0,Participant_1493663240_A01890.p,False,
105,2521.7153103351593,24.771538,26.3,Participant_1493663240_A01890.p,False,
106,2521.9653317928314,24.756165,26.5,Participant_1493663240_A01890.p,False,
107,2522.215353012085,24.798441,26.8,Participant_1493663240_A01890.p,False,
108,2522.465374469757,24.929111,27.0,Participant_1493663240_A01890.p,False,
109,2522.7153956890106,24.980356,27.3,Participant_1493663240_A01890.p,False,
110,2522.9654171466827,24.944485,27.5,Participant_1493663240_A01890.p,False,
111,2523.2154383659363,25.316004,27.8,Participant_1493663240_A01890.p,False,
112,2523.4654598236084,25.401838,28.0,Participant_1493663240_A01890.p,False,
113,2523.7154812812805,25.305756,28.3,Participant_1493663240_A01890.p,False,
114,2523.965502500534,25.294226,28.5,Participant_1493663240_A01890.p,False,
115,2524.215523958206,25.271166,28.8,Participant_1493663240_A01890.p,False,
116,2524.4655451774597,25.239138,29.0,Participant_1493663240_A01890.p,False,
117,2524.715566635132,25.267323,29.3,Participant_1493663240_A01890.p,False,
118,2524.9655878543854,25.421055,29.5,Participant_1493663240_A01890.p,False,
119,2525.2156093120575,25.506887,29.8,Participant_1493663240_A01890.p,False,
120,2525.465630531311,25.432585,30.0,Participant_1493663240_A01890.p,False,
121,2525.715651988983,25.410807,30.3,Participant_1493663240_A01890.p,False,
122,2525.9656732082367,25.373653,30.5,Participant_1493663240_A01890.p,False,
123,2526.215694665909,25.290382,30.8,Participant_1493663240_A01890.p,False,
124,2526.4657158851624,25.221203,31.0,Participant_1493663240_A01890.p,False,
125,2526.7157373428345,25.204548,31.3,Participant_1493663240_A01890.p,False,
126,2526.9657588005066,25.198143,31.5,Participant_1493663240_A01890.p,False,
127,2527.21578001976,25.157148,31.8,Participant_1493663240_A01890.p,False,
128,2527.4658014774323,25.222485,32.0,Participant_1493663240_A01890.p,False,
129,2527.715822696686,25.250668,32.3,Participant_1493663240_A01890.p,False,
130,2527.965844154358,25.204548,32.5,Participant_1493663240_A01890.p,False,
131,2528.2158653736115,25.374935,32.8,Participant_1493663240_A01890.p,False,
132,2528.4658868312836,25.241701,33.0,Participant_1493663240_A01890.p,False,
133,2528.715908050537,25.455645,33.3,Participant_1493663240_A01890.p,False,
134,2528.9659295082092,25.585035,33.5,Participant_1493663240_A01890.p,False,
135,2529.2159507274628,26.054344,33.8,Participant_1493663240_A01890.p,False,
136,2529.465972185135,26.505508,34.0,Participant_1493663240_A01890.p,False,
137,2529.7159934043884,26.573406,34.3,Participant_1493663240_A01890.p,False,
138,2529.9660148620605,26.018032,34.5,Participant_1493663240_A01890.p,False,
139,2530.2160363197327,25.76247,34.8,Participant_1493663240_A01890.p,False,
140,2530.466057538986,25.76375,35.0,Participant_1493663240_A01890.p,False,
141,2530.7160789966583,25.758627,35.3,Participant_1493663240_A01890.p,False,
142,2530.966100215912,25.74069,35.5,Participant_1493663240_A01890.p,False,
143,2531.216121673584,26.004597,35.8,Participant_1493663240_A01890.p,False,
144,2531.4661428928375,26.272346,36.0,Participant_1493663240_A01890.p,False,
145,2531.7161643505096,26.281315,36.3,Participant_1493663240_A01890.p,False,
146,2531.966185569763,26.190357,36.5,Participant_1493663240_A01890.p,False,
147,2532.2162070274353,26.442734,36.8,Participant_1493663240_A01890.p,False,
148,2532.466228246689,26.50807,37.0,Participant_1493663240_A01890.p,False,
149,2532.716249704361,25.561337,37.3,Participant_1493663240_A01890.p,False,
